time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length
3,4,27.0,28,108,1.0,0.99829,,
4,8,27.125,48,217,1.0,0.9965641666666667,,
5,12,27.0,62,324,0.9166666666666666,0.9948700000000001,,
5,16,25.375,70,406,0.9375,0.9935716666666667,,
6,20,23.9,76,478,0.8,0.9924316666666666,,
6,24,23.416666666666668,81,562,0.8333333333333334,0.9911016666666668,,
7,28,22.25,85,623,0.7142857142857143,0.9901358333333334,,
7,32,20.875,87,668,0.625,0.9894233333333333,,
8,36,22.22222222222222,95,800,0.7222222222222222,0.9873333333333333,,
8,40,21.975,98,879,0.725,0.9860824999999999,,
9,44,22.113636363636363,100,973,0.7954545454545454,0.9845941666666667,,
10,48,21.895833333333332,103,1051,0.7916666666666666,0.9833591666666667,,
10,52,22.403846153846153,106,1165,0.8076923076923077,0.9815541666666667,,
11,56,22.017857142857142,108,1233,0.7857142857142857,0.9804775000000001,,
11,60,21.85,110,1311,0.75,0.9792425,,
12,64,21.875,111,1400,0.734375,0.9778333333333333,,
13,68,22.279411764705884,114,1515,0.7794117647058824,0.9760125,,
14,72,23.36111111111111,115,1682,0.9027777777777778,0.9733683333333333,,
15,76,23.43421052631579,114,1781,0.9078947368421053,0.9718008333333332,,
16,80,23.2375,113,1859,0.8875,0.9705658333333331,,
17,84,23.333333333333332,112,1960,0.8928571428571429,0.9689666666666665,,
18,88,23.34090909090909,110,2054,0.8977272727272727,0.9674783333333333,,
18,92,23.01086956521739,111,2117,0.8804347826086957,0.9664808333333335,,
19,96,22.635416666666668,112,2173,0.84375,0.9655941666666666,,
19,100,22.35,113,2235,0.81,0.9646124999999999,,
20,104,21.98,114,2306,0.8,0.9634883333333332,,
20,108,21.7,115,2387,0.78,0.9622058333333332,,
21,112,21.98,117,2522,0.78,0.9600683333333333,,
22,116,22.21,118,2627,0.81,0.9584058333333333,,
22,120,22.21,119,2699,0.82,0.9572658333333333,,
23,124,22.43,120,2805,0.82,0.9555875000000001,,
23,128,22.59,121,2882,0.85,0.9543683333333333,,
24,132,23.02,122,2970,0.88,0.9529749999999999,,
24,136,22.56,122,3056,0.86,0.9516133333333334,,
25,140,22.63,123,3142,0.85,0.9502516666666667,,
25,144,22.37,123,3210,0.79,0.949175,,
26,148,22.3,124,3281,0.78,0.9480508333333333,,
26,152,21.96,124,3361,0.75,0.9467841666666668,,
27,156,21.98,125,3431,0.75,0.9456758333333333,,
27,160,21.89,125,3500,0.74,0.9445833333333334,,
28,164,21.9,125,3590,0.77,0.9431583333333333,,
29,168,21.45,124,3660,0.72,0.94205,,
30,172,20.89,123,3771,0.65,0.9402925000000002,,
31,176,20.72,122,3853,0.63,0.9389941666666668,,
32,180,20.66,121,3925,0.64,0.9378541666666667,,
33,184,20.98,120,4058,0.68,0.9357483333333332,,
34,188,20.92,119,4146,0.68,0.9343549999999999,,
35,192,21.02,119,4219,0.68,0.9331991666666668,,
35,196,21.47,120,4320,0.71,0.9316000000000002,,
36,200,21.44,120,4379,0.72,0.9306658333333333,,
37,204,22.0,119,4506,0.77,0.9286549999999998,,
38,208,22.44,119,4631,0.8,0.9266758333333333,,
39,212,22.22,119,4744,0.8,0.9248866666666667,,
40,216,21.84,120,4811,0.76,0.9238258333333331,,
40,220,22.27,120,4926,0.81,0.9220049999999999,,
41,224,21.97,121,5002,0.8,0.9208016666666667,,
42,228,22.25,121,5107,0.8,0.9191391666666667,,
42,232,22.1,121,5180,0.8,0.9179833333333333,,
43,236,21.99,120,5255,0.78,0.9167958333333331,,
45,240,21.87,115,5329,0.77,0.9156241666666666,,
47,244,21.85,113,5395,0.79,0.9145791666666667,,
49,248,22.01,109,5482,0.81,0.9132016666666665,,
51,252,22.04,107,5565,0.84,0.9118875000000001,,
53,256,22.72,106,5703,0.86,0.9097025000000001,,
54,260,22.65,105,5765,0.87,0.9087208333333334,,
55,264,22.41,105,5831,0.83,0.9076758333333332,,
55,268,22.57,106,5917,0.84,0.9063141666666668,,
56,272,22.59,106,6030,0.83,0.904525,,
57,276,22.97,107,6150,0.89,0.9026249999999998,,
57,280,23.3,108,6255,0.9,0.9009625000000002,,
58,284,22.85,108,6343,0.84,0.8995691666666665,,
59,288,22.93,108,6439,0.84,0.8980491666666668,,
59,292,22.82,109,6501,0.82,0.8970675,,
60,296,22.6,109,6580,0.81,0.8958166666666665,,
60,300,22.63,109,6642,0.8,0.8948350000000002,,
61,304,22.22,109,6728,0.74,0.8934733333333333,,
63,308,23.12,109,6943,0.81,0.8900691666666665,,
64,312,22.93,108,7037,0.81,0.8885808333333333,,
65,316,23.15,109,7126,0.81,0.8871716666666665,,
65,320,22.64,109,7190,0.76,0.8861583333333332,,
66,324,22.85,109,7287,0.79,0.8846225,,
67,328,22.85,110,7392,0.81,0.88296,,
68,332,23.75,110,7555,0.87,0.8803791666666667,,
68,336,23.93,111,7648,0.9,0.8789066666666665,,
69,340,24.48,111,7777,0.95,0.8768641666666664,,
70,344,24.91,111,7886,0.96,0.8751383333333335,,
71,348,24.86,112,7968,0.95,0.8738400000000001,,
71,352,25.09,112,8074,0.94,0.8721616666666666,,
72,356,24.52,112,8155,0.93,0.8708791666666666,,
73,360,25.22,113,8287,0.98,0.8687891666666667,,
73,364,25.79,113,8410,1.02,0.8668416666666665,,
74,368,26.05,114,8522,1.06,0.8650683333333332,,
75,372,25.86,114,8616,1.06,0.86358,,
76,376,25.38,113,8688,1.0,0.8624399999999999,,
77,380,25.63,113,8818,0.99,0.8603816666666668,,
78,384,25.42,113,8885,0.98,0.8593208333333332,,
79,388,25.52,112,8991,0.99,0.8576425000000001,,
80,392,25.6,113,9061,1.02,0.8565341666666666,,
80,396,26.08,113,9188,1.04,0.8545233333333334,,
81,400,26.82,113,9324,1.13,0.8523700000000001,,
82,404,27.09,114,9437,1.14,0.8505808333333332,,
83,408,25.84,114,9527,1.05,0.8491558333333333,,
84,412,26.26,114,9663,1.07,0.8470025,,
84,416,26.63,115,9789,1.07,0.8450074999999999,,
85,420,26.8,115,9870,1.08,0.8437250000000001,,
86,424,27.1,115,9997,1.07,0.8417141666666669,,
90,428,27.25,112,10117,1.06,0.8398141666666668,,
91,432,26.82,112,10237,0.99,0.8379141666666665,,
92,436,26.99,111,10347,1.0,0.8361725000000001,,
93,440,26.7,111,10447,0.97,0.8345891666666666,,
94,444,26.62,111,10548,0.98,0.8329899999999999,,
95,448,26.46,111,10614,0.97,0.8319450000000002,,
95,452,26.31,111,10705,0.98,0.8305041666666665,,
96,456,26.32,111,10787,0.98,0.8292058333333334,,
96,460,25.63,112,10850,0.94,0.8282083333333332,,
97,464,25.37,112,10947,0.91,0.8266725000000001,,
97,468,24.87,112,11009,0.86,0.8256908333333333,,
98,472,24.57,112,11073,0.82,0.8246775,,
99,476,24.79,112,11167,0.84,0.8231891666666667,,
99,480,24.04,112,11222,0.81,0.8223183333333334,,
100,484,24.55,113,11340,0.85,0.8204500000000001,,
100,488,24.23,113,11414,0.8,0.8192783333333336,,
101,492,24.3,113,11491,0.8,0.8180591666666666,,
102,496,23.97,113,11585,0.8,0.8165708333333334,,
102,500,23.48,113,11672,0.73,0.8151933333333334,,
103,504,23.18,113,11755,0.73,0.8138791666666666,,
103,508,23.1,113,11837,0.72,0.8125808333333332,,
104,512,22.71,113,11934,0.71,0.811045,,
105,516,22.25,113,12014,0.7,0.8097783333333335,,
106,520,22.28,113,12098,0.7,0.8084483333333332,,
107,524,21.64,113,12161,0.65,0.8074508333333333,,
108,528,21.08,112,12225,0.61,0.8064375,,
109,532,20.52,112,12289,0.62,0.8054241666666667,,
109,536,20.36,112,12383,0.56,0.8039358333333335,,
110,540,20.07,113,12454,0.54,0.8028116666666665,,
110,544,20.0,113,12548,0.52,0.8013233333333333,,
