time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
66,4,0,194,16.5,0.9989549999999998,0.25,,
148,8,1,76,18.5,0.9976566666666667,0.375,,
305,12,2,104,25.416666666666668,0.9951708333333333,0.8333333333333334,,
393,16,3,111,24.5625,0.9937775,0.75,,
467,20,4,116,23.35,0.9926058333333334,0.65,,
539,24,4,120,22.458333333333332,0.9914658333333333,0.625,,
613,28,4,123,21.892857142857142,0.9902941666666667,0.5714285714285714,,
724,32,5,127,22.625,0.9885366666666668,0.6875,,
789,36,6,127,21.916666666666668,0.9875075000000001,0.6388888888888888,,
870,40,6,128,21.75,0.9862250000000001,0.6,,
971,44,7,131,22.068181818181817,0.9846258333333332,0.6136363636363636,,
1039,48,7,132,21.645833333333332,0.9835491666666668,0.6041666666666666,,
1110,52,8,132,21.346153846153847,0.9824249999999999,0.5576923076923077,,
1180,56,8,133,21.071428571428573,0.9813166666666666,0.5535714285714286,,
1245,60,9,133,20.75,0.9802874999999999,0.55,,
1327,64,10,130,20.734375,0.9789891666666668,0.5625,,
1388,68,10,127,20.41176470588235,0.9780233333333335,0.5441176470588235,,
1467,72,11,125,20.375,0.9767725,0.5416666666666666,,
1531,76,12,122,20.144736842105264,0.9757591666666667,0.5131578947368421,,
1600,80,13,120,20.0,0.9746666666666667,0.5,,
1704,84,14,119,20.285714285714285,0.9730200000000001,0.5238095238095238,,
1810,88,15,119,20.568181818181817,0.9713416666666667,0.5568181818181818,,
1869,92,15,120,20.315217391304348,0.9704074999999999,0.5434782608695652,,
1939,96,16,120,20.197916666666668,0.9692991666666666,0.53125,,
2057,100,16,121,20.57,0.9674308333333334,0.54,,
2162,104,17,122,20.96,0.9657683333333333,0.54,,
2275,108,18,124,21.27,0.9639791666666666,0.57,,
2384,112,19,125,20.79,0.9622533333333332,0.52,,
2501,116,19,126,21.08,0.9604008333333334,0.55,,
2601,120,20,127,21.34,0.9588174999999999,0.59,,
2666,124,20,127,21.27,0.9577883333333335,0.58,,
2731,128,21,128,21.18,0.9567591666666667,0.59,,
2792,132,21,128,20.68,0.9557933333333334,0.55,,
2864,136,22,128,20.75,0.9546533333333334,0.56,,
2952,140,22,129,20.82,0.95326,0.57,,
3017,144,23,129,20.46,0.9522308333333332,0.57,,
3106,148,23,130,20.67,0.9508216666666666,0.59,,
3237,152,24,130,21.27,0.9487475,0.65,,
3313,156,25,129,21.33,0.9475441666666665,0.66,,
3396,160,26,128,21.51,0.94623,0.66,,
3528,164,27,126,22.01,0.94414,0.68,,
3626,168,28,125,22.38,0.9425883333333334,0.72,,
3719,172,29,124,22.52,0.9411158333333333,0.74,,
3808,176,30,125,22.77,0.9397066666666668,0.76,,
3954,180,31,126,23.54,0.9373950000000002,0.8,,
4044,184,32,126,23.4,0.93597,0.78,,
4138,188,32,125,23.28,0.9344816666666667,0.79,,
4193,192,33,125,23.24,0.9336108333333333,0.79,,
4273,196,33,126,23.34,0.9323441666666668,0.81,,
4347,200,34,126,22.9,0.9311725000000002,0.8,,
4432,204,34,126,22.7,0.9298266666666668,0.8,,
4498,208,35,127,22.23,0.9287816666666666,0.76,,
4572,212,35,127,21.88,0.92761,0.76,,
4648,216,36,127,21.47,0.9264066666666666,0.73,,
4711,220,36,128,21.1,0.9254091666666667,0.68,,
4842,224,37,128,21.76,0.9233350000000001,0.77,,
4912,228,38,128,21.81,0.9222266666666665,0.77,,
4971,232,38,129,21.79,0.9212925000000001,0.75,,
5130,236,39,129,22.66,0.9187750000000001,0.79,,
5216,240,40,129,22.64,0.9174133333333334,0.79,,
5308,244,41,128,22.91,0.9159566666666666,0.79,,
5433,248,42,127,23.27,0.9139775,0.8,,
5517,252,43,126,22.8,0.9126475000000001,0.76,,
5614,256,44,126,23.01,0.9111116666666665,0.74,,
5684,260,44,126,22.88,0.9100033333333333,0.74,,
5771,264,45,127,22.43,0.9086258333333335,0.72,,
5872,268,46,127,22.46,0.9070266666666665,0.69,,
5998,272,46,128,22.79,0.9050316666666668,0.71,,
6097,276,47,128,22.89,0.9034641666666667,0.7,,
6163,280,47,128,22.09,0.9024191666666666,0.66,,
6281,284,48,129,22.37,0.9005508333333333,0.68,,
6338,288,49,129,22.0,0.8996483333333334,0.63,,
6421,292,49,129,22.28,0.8983341666666665,0.67,,
6508,296,50,129,22.35,0.8969566666666666,0.67,,
6576,300,50,129,22.29,0.8958799999999999,0.66,,
6704,304,51,130,22.72,0.8938533333333334,0.69,,
6833,308,52,130,23.35,0.8918108333333333,0.68,,
6955,312,52,131,23.83,0.8898791666666667,0.7,,
7040,316,53,131,23.92,0.8885333333333333,0.7,,
7120,320,54,131,24.09,0.8872666666666668,0.71,,
7218,324,55,130,23.76,0.8857150000000001,0.63,,
7315,328,56,129,24.03,0.8841791666666666,0.63,,
7411,332,57,129,24.4,0.8826591666666668,0.66,,
7512,336,58,127,23.82,0.8810599999999998,0.61,,
7575,340,59,127,23.59,0.8800625,0.59,,
7665,344,60,127,23.57,0.8786375000000002,0.58,,
7730,348,60,127,22.97,0.8776083333333334,0.53,,
7849,352,61,127,23.32,0.8757241666666667,0.55,,
7969,356,62,128,23.55,0.8738241666666666,0.59,,
8032,360,62,128,23.48,0.8728266666666668,0.57,,
8089,364,63,128,23.18,0.8719241666666668,0.55,,
8207,368,63,128,23.35,0.8700558333333333,0.56,,
8310,372,64,128,23.12,0.8684250000000001,0.54,,
8386,376,65,128,22.89,0.8672216666666666,0.55,,
8479,380,65,128,23.16,0.8657491666666668,0.58,,
8564,384,66,129,22.83,0.8644033333333334,0.56,,
8682,388,67,129,23.44,0.8625350000000002,0.62,,
8814,392,67,129,23.93,0.8604449999999998,0.62,,
8896,396,68,129,23.88,0.8591466666666667,0.61,,
8977,400,69,129,24.01,0.8578641666666669,0.63,,
9029,404,69,129,23.25,0.8570408333333334,0.59,,
9095,408,70,129,22.62,0.8559958333333332,0.61,,
9184,412,71,128,22.29,0.8545866666666668,0.58,,
9271,416,72,128,22.31,0.8532091666666666,0.58,,
9351,420,73,128,22.31,0.8519425,0.59,,
9419,424,73,127,22.01,0.8508658333333333,0.59,,
9511,428,74,127,21.96,0.8494091666666667,0.6,,
9586,432,75,127,21.75,0.8482216666666665,0.59,,
9666,436,75,127,21.54,0.846955,0.6,,
9738,440,76,127,21.63,0.845815,0.62,,
9795,444,76,127,21.3,0.8449125,0.6,,
9874,448,77,127,21.44,0.8436616666666665,0.62,,
9966,452,77,128,21.17,0.8422049999999999,0.65,,
10074,456,81,123,21.05,0.840495,0.64,,
10171,460,82,123,21.39,0.8389591666666667,0.68,,
10236,464,82,123,21.47,0.8379300000000001,0.68,,
10320,468,83,123,21.13,0.8366,0.69,,
10459,472,84,123,21.49,0.8343991666666667,0.75,,
10560,476,85,123,21.74,0.8328000000000002,0.75,,
10622,480,86,123,21.43,0.8318183333333333,0.71,,
10705,484,86,123,21.41,0.8305041666666665,0.7,,
10826,488,88,122,21.44,0.8285883333333333,0.72,,
10934,492,89,122,21.2,0.8268783333333334,0.7,,
11084,496,90,122,21.88,0.8245033333333333,0.71,,
11163,500,90,122,21.86,0.8232525000000002,0.72,,
11263,504,91,122,22.34,0.8216691666666667,0.77,,
11407,508,92,123,23.12,0.8193891666666668,0.82,,
