time/episodes,rollout/exploration_rate,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
4,0.0,0,200,0.25,66,16.5,,
8,0.0,116,116,0.25,13539,1692.375,,
,0.0,,,,25000,,0.0,6743.5
12,0.0,462,87,0.16666666666666666,40517,3376.4166666666665,,
,0.0,,,,50000,,0.0,6743.5
16,0.0,803,84,0.125,67486,4217.875,,
,0.0,,,,75000,,0.0,6744.0
20,0.0,1140,82,0.1,94457,4722.85,,
,0.0,,,,100000,,0.0,6742.25
24,0.0,1481,81,0.08333333333333333,121430,5059.583333333333,,
,0.0,,,,125000,,0.0,6743.0
28,0.0,1828,81,0.07142857142857142,148408,5300.285714285715,,
,0.0,,,,150000,,0.0,6741.5
,0.0,,,,175000,,0.0,6741.25
32,0.0,2288,76,0.0625,175378,5480.5625,,
,0.0,,,,200000,,0.0,6742.5
