time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
4,130,0.0,0,73,18.25,0.25,,
8,64,0.0,3,233,29.125,0.75,,
12,82,0.0,5,421,35.083333333333336,1.25,,
16,95,0.0,7,707,44.1875,1.3125,,
20,101,0.0,9,954,47.7,1.2,,
24,103,0.0,10,1089,45.375,1.2083333333333333,,
28,106,0.0,11,1267,45.25,1.2857142857142858,,
32,103,0.0,13,1422,44.4375,1.3125,,
36,101,0.0,16,1624,45.111111111111114,1.3611111111111112,,
40,101,0.0,17,1759,43.975,1.35,,
44,102,0.0,18,1939,44.06818181818182,1.3636363636363635,,
48,104,0.0,20,2110,43.958333333333336,1.3958333333333333,,
52,105,0.0,21,2228,42.84615384615385,1.3653846153846154,,
56,105,0.0,22,2353,42.017857142857146,1.3928571428571428,,
60,106,0.0,23,2501,41.68333333333333,1.4166666666666667,,
64,108,0.0,25,2730,42.65625,1.4375,,
68,107,0.0,28,3087,45.39705882352941,1.4558823529411764,,
72,106,0.0,31,3377,46.90277777777778,1.4027777777777777,,
76,107,0.0,33,3580,47.10526315789474,1.4473684210526316,,
80,110,0.0,46,5091,63.6375,1.45,,
84,110,0.0,47,5303,63.13095238095238,1.4285714285714286,,
88,110,0.0,49,5433,61.73863636363637,1.4204545454545454,,
92,110,0.0,50,5571,60.55434782608695,1.434782608695652,,
96,110,0.0,51,5688,59.25,1.4166666666666667,,
100,111,0.0,52,5849,58.49,1.42,,
104,111,0.0,53,5979,59.06,1.46,,
108,111,0.0,55,6158,59.25,1.47,,
112,111,0.0,56,6269,58.48,1.41,,
116,111,0.0,57,6370,56.63,1.4,,
120,109,0.0,59,6497,55.43,1.41,,
124,108,0.0,61,6628,55.39,1.42,,
128,108,0.0,61,6695,54.28,1.38,,
132,108,0.0,62,6789,53.67,1.36,,
136,108,0.0,64,6993,53.69,1.35,,
140,109,0.0,65,7128,53.69,1.35,,
144,109,0.0,66,7261,53.22,1.35,,
148,109,0.0,68,7481,53.71,1.39,,
152,109,0.0,69,7616,53.88,1.43,,
156,109,0.0,70,7789,54.36,1.44,,
160,109,0.0,72,7925,54.24,1.43,,
164,108,0.0,74,8127,53.97,1.48,,
168,108,0.0,76,8315,52.28,1.5,,
172,109,0.0,77,8480,51.03,1.56,,
176,109,0.0,79,8659,50.79,1.54,,
180,109,0.0,80,8829,37.38,1.57,,
184,109,0.0,82,9020,37.17,1.62,,
188,110,0.0,84,9323,38.9,1.77,,
192,109,0.0,86,9555,39.84,1.84,,
196,109,0.0,89,9759,40.71,1.9,,
200,109,0.0,90,9904,40.55,1.9,,
204,108,0.0,93,10147,41.68,2.01,,
208,109,0.0,94,10357,41.99,2.07,,
212,109,0.0,96,10541,42.72,2.14,,
216,109,0.0,97,10675,43.05,2.17,,
220,109,0.0,98,10871,43.74,2.21,,
