rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward
31.75,0.0,1.75,4,1,127,75,,
70.5,0.0,1.625,8,6,564,88,,
66.75,0.0,2.0833333333333335,12,8,801,95,,
59.875,0.0,1.9375,16,9,958,99,,
54.6,0.0,1.85,20,10,1092,101,,
53.416666666666664,0.0,1.8333333333333333,24,12,1282,104,,
48.464285714285715,0.0,1.6785714285714286,28,12,1357,105,,
46.6875,0.0,1.65625,32,14,1494,106,,
43.0,0.0,1.5,36,14,1548,106,,
42.725,0.0,1.525,40,16,1709,105,,
42.54545454545455,0.0,1.5454545454545454,44,18,1872,102,,
42.083333333333336,0.0,1.4791666666666667,48,20,2020,100,,
41.48076923076923,0.0,1.4807692307692308,52,21,2157,101,,
41.482142857142854,0.0,1.4642857142857142,56,22,2323,102,,
41.13333333333333,0.0,1.4833333333333334,60,23,2468,103,,
41.015625,0.0,1.46875,64,25,2625,104,,
40.544117647058826,0.0,1.4411764705882353,68,26,2757,104,,
40.47222222222222,0.0,1.4166666666666667,72,27,2914,105,,
39.328947368421055,0.0,1.3421052631578947,76,28,2989,105,,
39.1875,0.0,1.3375,80,29,3135,105,,
39.583333333333336,0.0,1.3571428571428572,84,31,3325,105,,
39.28409090909091,0.0,1.3522727272727273,88,33,3457,104,,
39.09782608695652,0.0,1.3695652173913044,92,34,3597,103,,
39.385416666666664,0.0,1.375,96,36,3781,103,,
39.21,0.0,1.38,100,37,3921,103,,
38.89,0.0,1.33,104,38,4016,104,,
36.13,0.0,1.37,108,39,4177,104,,
35.81,0.0,1.31,112,41,4382,105,,
36.04,0.0,1.3,116,42,4562,106,,
35.68,0.0,1.29,120,44,4660,105,,
34.58,0.0,1.23,124,44,4740,106,,
34.56,0.0,1.23,128,45,4813,105,,
34.7,0.0,1.26,132,47,4964,105,,
35.5,0.0,1.31,136,48,5098,104,,
34.78,0.0,1.27,140,49,5187,103,,
35.13,0.0,1.33,144,51,5385,104,,
34.9,0.0,1.35,148,52,5510,104,,
34.55,0.0,1.34,152,53,5612,104,,
34.44,0.0,1.36,156,54,5767,105,,
34.6,0.0,1.33,160,56,5928,105,,
34.35,0.0,1.33,164,57,6060,106,,
34.47,0.0,1.34,168,58,6204,106,,
33.92,0.0,1.33,172,59,6306,106,,
34.19,0.0,1.4,176,60,6408,106,,
34.38,0.0,1.41,180,62,6573,104,,
33.25,0.0,1.36,184,63,6650,104,,
32.68,0.0,1.35,188,64,6725,104,,
32.35,0.0,1.3,192,65,6832,104,,
31.43,0.0,1.3,196,66,6924,104,,
30.85,0.0,1.31,200,66,7006,104,,
31.06,0.0,1.34,204,67,7122,104,,
30.53,0.0,1.28,208,68,7230,105,,
29.17,0.0,1.24,212,69,7299,105,,
28.98,0.0,1.25,216,70,7460,105,,
28.53,0.0,1.2,220,71,7513,105,,
28.68,0.0,1.26,224,72,7608,105,,
28.87,0.0,1.26,228,72,7700,105,,
29.5,0.0,1.35,232,74,7914,105,,
29.44,0.0,1.35,236,76,8042,105,,
29.74,0.0,1.39,240,77,8161,104,,
29.42,0.0,1.39,244,79,8327,104,,
29.29,0.0,1.41,248,80,8439,104,,
29.81,0.0,1.45,252,82,8593,104,,
29.21,0.0,1.41,256,82,8688,104,,
28.15,0.0,1.37,260,83,8743,104,,
28.33,0.0,1.4,264,84,8893,105,,
29.26,0.0,1.45,268,86,9130,105,,
29.65,0.0,1.52,272,87,9271,105,,
29.61,0.0,1.52,276,88,9369,105,,
29.17,0.0,1.54,280,90,9490,104,,
30.19,0.0,1.64,284,92,9669,104,,
30.35,0.0,1.65,288,93,9760,104,,
30.33,0.0,1.67,292,94,9865,104,,
30.12,0.0,1.63,296,95,9936,104,,
30.41,0.0,1.64,300,96,10047,104,,
30.25,0.0,1.61,304,97,10147,104,,
30.35,0.0,1.63,308,98,10265,104,,
30.9,0.0,1.67,312,99,10389,104,,
30.53,0.0,1.66,316,100,10513,104,,
30.79,0.0,1.67,320,101,10592,104,,
30.75,0.0,1.64,324,102,10683,104,,
31.05,0.0,1.69,328,103,10805,104,,
29.86,0.0,1.56,332,105,10900,103,,
29.9,0.0,1.58,336,106,11032,103,,
29.7,0.0,1.55,340,108,11131,102,,
28.85,0.0,1.42,344,109,11212,102,,
28.55,0.0,1.38,348,109,11294,102,,
