time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
52,0.0,106,0.25,26.5,4,2,,
81,0.0,310,1.25,38.75,8,3,,
90,0.0,517,1.5833333333333333,43.083333333333336,12,5,,
97,0.0,720,1.75,45.0,16,7,,
94,0.0,921,1.85,46.05,20,9,,
93,0.0,1124,1.9166666666666667,46.833333333333336,24,12,,
95,0.0,1326,1.9642857142857142,47.357142857142854,28,13,,
97,0.0,1450,1.90625,45.3125,32,14,,
99,0.0,1610,1.8611111111111112,44.72222222222222,36,16,,
101,0.0,1743,1.8,43.575,40,17,,
102,0.0,1863,1.6590909090909092,42.34090909090909,44,18,,
103,0.0,1978,1.5625,41.208333333333336,48,19,,
104,0.0,2102,1.5,40.42307692307692,52,20,,
105,0.0,2291,1.4285714285714286,40.910714285714285,56,21,,
103,0.0,2469,1.3333333333333333,41.15,60,23,,
102,0.0,2581,1.296875,40.328125,64,25,,
101,0.0,2744,1.25,40.35294117647059,68,26,,
101,0.0,2828,1.2222222222222223,39.27777777777778,72,27,,
102,0.0,2914,1.1578947368421053,38.3421052631579,76,28,,
102,0.0,3029,1.1625,37.8625,80,29,,
103,0.0,3121,1.1071428571428572,37.154761904761905,84,30,,
103,0.0,3222,1.1136363636363635,36.61363636363637,88,31,,
103,0.0,3319,1.065217391304348,36.07608695652174,92,32,,
103,0.0,3416,1.0520833333333333,35.583333333333336,96,32,,
104,0.0,3544,1.05,35.44,100,34,,
104,0.0,3714,1.09,36.08,104,35,,
105,0.0,3820,1.05,35.1,108,36,,
104,0.0,3899,1.0,33.82,112,37,,
104,0.0,3977,0.93,32.57,116,38,,
103,0.0,4042,0.85,31.21,120,38,,
103,0.0,4119,0.77,29.95,124,39,,
102,0.0,4167,0.68,28.41,128,40,,
102,0.0,4245,0.65,27.95,132,41,,
102,0.0,4317,0.61,27.07,136,42,,
102,0.0,4380,0.57,26.37,140,42,,
102,0.0,4436,0.56,25.73,144,43,,
102,0.0,4481,0.54,25.03,148,43,,
102,0.0,4563,0.54,24.61,152,44,,
102,0.0,4708,0.58,24.17,156,45,,
102,0.0,4759,0.59,22.9,160,46,,
103,0.0,4840,0.58,22.59,164,46,,
103,0.0,4941,0.6,21.97,168,47,,
103,0.0,4997,0.59,21.69,172,48,,
103,0.0,5102,0.63,21.88,176,49,,
103,0.0,5181,0.61,21.52,180,49,,
104,0.0,5291,0.64,21.7,184,50,,
103,0.0,5382,0.65,21.6,188,51,,
103,0.0,5458,0.67,21.39,192,52,,
103,0.0,5557,0.66,21.41,196,53,,
102,0.0,5647,0.66,21.03,200,55,,
102,0.0,5826,0.67,21.12,204,57,,
102,0.0,5894,0.63,20.74,208,57,,
102,0.0,5979,0.62,20.8,212,58,,
102,0.0,6064,0.62,20.87,216,59,,
102,0.0,6112,0.61,20.7,220,59,,
102,0.0,6162,0.6,20.43,224,60,,
102,0.0,6220,0.61,20.53,228,60,,
102,0.0,6308,0.62,20.63,232,61,,
102,0.0,6374,0.62,20.57,236,61,,
103,0.0,6478,0.66,20.98,240,62,,
103,0.0,6580,0.7,21.44,244,63,,
103,0.0,6709,0.78,22.28,248,64,,
103,0.0,6862,0.86,22.99,252,66,,
