rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
0.0,0,1.0,4,133,24.0,96,,
0.0,3,1.0,8,104,52.25,418,,
0.0,5,0.9166666666666666,12,103,44.916666666666664,539,,
0.0,6,0.875,16,100,42.5,680,,
0.0,8,0.85,20,98,39.6,792,,
0.0,9,0.8333333333333334,24,101,38.833333333333336,932,,
0.0,10,0.8571428571428571,28,104,40.25,1127,,
0.0,12,0.875,32,102,38.90625,1245,,
0.0,13,0.8888888888888888,36,100,38.388888888888886,1382,,
0.0,15,0.9,40,98,37.425,1497,,
0.0,16,0.9090909090909091,44,97,36.70454545454545,1615,,
0.0,17,0.9166666666666666,48,99,36.395833333333336,1747,,
0.0,18,0.9038461538461539,52,101,36.63461538461539,1905,,
0.0,19,0.9107142857142857,56,101,36.160714285714285,2025,,
0.0,20,0.9166666666666666,60,102,35.766666666666666,2146,,
0.0,21,0.921875,64,103,35.453125,2269,,
0.0,23,0.9264705882352942,68,105,36.220588235294116,2463,,
0.0,24,0.9305555555555556,72,105,35.791666666666664,2577,,
0.0,25,0.9342105263157895,76,106,35.36842105263158,2688,,
0.0,26,0.9375,80,106,35.05,2804,,
0.0,27,0.9404761904761905,84,105,34.773809523809526,2921,,
0.0,29,0.9431818181818182,88,104,34.36363636363637,3024,,
0.0,30,0.9347826086956522,92,102,34.119565217391305,3139,,
0.0,31,0.9375,96,102,33.822916666666664,3247,,
0.0,32,0.91,100,102,33.12,3312,,
0.0,32,0.89,104,103,32.8,3376,,
0.0,33,0.86,108,103,30.66,3484,,
0.0,34,0.88,112,103,30.55,3594,,
0.0,35,0.88,116,104,30.22,3702,,
0.0,36,0.91,120,104,30.49,3841,,
0.0,37,0.91,124,105,30.76,4008,,
0.0,38,0.9,128,106,29.97,4124,,
0.0,40,0.86,132,106,30.13,4258,,
0.0,41,0.84,136,106,30.02,4384,,
0.0,42,0.8,140,105,29.91,4488,,
0.0,44,0.79,144,105,30.31,4646,,
0.0,45,0.79,148,104,29.94,4741,,
0.0,46,0.79,152,104,29.55,4860,,
0.0,47,0.77,156,104,29.94,5019,,
0.0,49,0.76,160,105,30.39,5185,,
0.0,50,0.76,164,105,30.21,5290,,
0.0,50,0.76,168,105,29.2,5383,,
0.0,51,0.76,172,105,29.05,5482,,
0.0,52,0.75,176,106,28.96,5584,,
0.0,53,0.75,180,106,28.87,5691,,
0.0,54,0.75,184,106,28.85,5806,,
0.0,55,0.79,188,106,29.3,5954,,
0.0,56,0.79,192,106,29.01,6040,,
0.0,58,0.8,196,105,29.13,6160,,
0.0,59,0.84,200,105,29.67,6279,,
0.0,60,0.87,204,105,30.03,6379,,
0.0,61,0.9,208,105,30.31,6515,,
0.0,62,0.89,212,105,30.08,6602,,
0.0,63,0.9,216,105,29.89,6691,,
0.0,64,0.88,220,105,29.51,6792,,
0.0,65,0.93,224,105,29.0,6908,,
0.0,66,0.93,228,106,28.98,7022,,
0.0,67,0.97,232,106,29.75,7233,,
0.0,68,0.99,236,106,29.79,7363,,
0.0,69,1.02,240,107,29.66,7454,,
0.0,71,1.04,244,106,29.58,7604,,
0.0,72,1.03,248,106,29.95,7736,,
0.0,73,1.03,252,106,29.63,7823,,
0.0,75,1.06,256,105,29.34,7953,,
0.0,76,1.08,260,105,28.9,8075,,
0.0,77,1.06,264,105,28.9,8180,,
0.0,78,1.07,268,106,29.21,8304,,
0.0,79,1.07,272,106,29.28,8410,,
0.0,80,1.06,276,106,29.43,8527,,
0.0,81,1.06,280,106,29.52,8643,,
0.0,82,1.03,284,106,29.62,8768,,
0.0,83,1.01,288,107,29.3,8884,,
0.0,84,1.04,292,107,29.87,9027,,
0.0,85,1.05,296,107,30.29,9189,,
0.0,87,1.04,300,106,30.27,9306,,
0.0,88,1.03,304,106,30.39,9418,,
0.0,89,1.03,308,106,29.88,9503,,
0.0,90,1.03,312,106,30.13,9615,,
0.0,90,1.03,316,106,30.04,9695,,
0.0,91,1.02,320,106,29.84,9776,,
0.0,92,0.98,324,106,29.91,9899,,
0.0,93,1.02,328,106,29.97,10019,,
0.0,94,1.04,332,106,29.13,10146,,
0.0,96,1.06,336,107,29.49,10312,,
0.0,97,1.1,340,107,29.85,10439,,
0.0,98,1.07,344,107,29.46,10550,,
0.0,100,1.06,348,106,30.19,10755,,
0.0,102,1.08,352,106,30.45,10868,,
0.0,103,1.07,356,105,30.09,10962,,
0.0,104,1.08,360,105,29.89,11064,,
0.0,105,1.08,364,105,29.58,11138,,
0.0,106,1.08,368,105,29.31,11235,,
0.0,106,1.08,372,106,29.12,11322,,
0.0,107,1.1,376,106,29.08,11435,,
0.0,108,1.11,380,106,28.94,11537,,
0.0,109,1.13,384,106,28.55,11623,,
0.0,110,1.11,388,106,28.26,11710,,
0.0,111,1.09,392,106,27.7,11797,,
0.0,111,1.07,396,106,26.86,11875,,
0.0,112,1.09,400,106,26.61,11967,,
0.0,113,1.11,404,106,26.5,12068,,
0.0,114,1.13,408,106,26.69,12172,,
0.0,115,1.15,412,105,26.48,12263,,
0.0,118,1.21,416,105,27.68,12463,,
0.0,119,1.26,420,105,28.47,12623,,
0.0,120,1.25,424,105,28.12,12711,,
0.0,121,1.22,428,105,27.71,12790,,
0.0,122,1.19,432,105,27.33,12879,,
0.0,122,1.17,436,105,26.59,12971,,
0.0,123,1.16,440,105,26.38,13077,,
0.0,124,1.18,444,105,26.05,13155,,
0.0,125,1.21,448,105,24.95,13250,,
0.0,126,1.21,452,105,25.54,13422,,
0.0,127,1.22,456,106,26.06,13568,,
0.0,128,1.2,460,106,25.94,13658,,
0.0,129,1.2,464,105,25.88,13726,,
0.0,130,1.18,468,105,25.77,13812,,
0.0,131,1.18,472,105,25.62,13884,,
0.0,133,1.2,476,105,25.66,14001,,
0.0,134,1.18,480,105,25.55,14092,,
0.0,135,1.21,484,105,26.04,14227,,
0.0,135,1.19,488,105,25.92,14302,,
0.0,136,1.19,492,105,25.94,14391,,
0.0,138,1.23,496,105,27.03,14578,,
0.0,138,1.19,500,105,26.89,14656,,
0.0,139,1.17,504,105,27.07,14775,,
0.0,140,1.17,508,105,27.18,14890,,
0.0,141,1.15,512,105,27.18,14981,,
0.0,142,1.07,516,105,25.94,15057,,
0.0,142,1.0,520,105,24.9,15113,,
0.0,143,1.0,524,105,24.69,15180,,
0.0,144,1.03,528,105,25.05,15295,,
0.0,145,1.04,532,105,24.96,15375,,
0.0,147,1.07,536,105,25.69,15540,,
0.0,148,1.03,540,105,25.4,15617,,
0.0,149,1.02,544,105,25.93,15748,,
0.0,150,0.99,548,105,25.73,15823,,
0.0,151,0.97,552,105,24.83,15905,,
0.0,151,0.94,556,105,24.12,15980,,
0.0,152,0.94,560,105,24.56,16114,,
0.0,153,0.94,564,105,24.6,16186,,
0.0,154,0.93,568,105,24.35,16247,,
0.0,155,0.94,572,105,24.79,16363,,
0.0,155,0.89,576,105,24.21,16422,,
0.0,156,0.87,580,105,23.91,16483,,
0.0,157,0.83,584,105,23.84,16611,,
0.0,158,0.83,588,105,24.0,16702,,
0.0,159,0.84,592,105,23.97,16788,,
0.0,160,0.77,596,105,23.02,16880,,
0.0,161,0.79,600,105,23.07,16963,,
0.0,162,0.77,604,104,22.63,17038,,
0.0,163,0.71,608,104,21.99,17089,,
0.0,163,0.68,612,104,21.69,17150,,
0.0,164,0.67,616,104,21.98,17255,,
0.0,165,0.69,620,104,22.32,17345,,
0.0,166,0.7,624,104,22.57,17437,,
0.0,166,0.66,628,104,22.17,17512,,
0.0,167,0.63,632,104,22.16,17591,,
0.0,168,0.57,636,104,21.14,17654,,
0.0,168,0.56,640,104,21.0,17717,,
0.0,169,0.55,644,105,20.35,17783,,
0.0,170,0.62,648,105,20.9,17913,,
0.0,171,0.6,652,105,20.74,17979,,
0.0,171,0.58,656,105,20.47,18027,,
0.0,172,0.54,660,105,19.64,18078,,
0.0,172,0.52,664,105,19.55,18141,,
0.0,173,0.52,668,105,19.57,18204,,
0.0,174,0.52,672,104,19.22,18285,,
0.0,175,0.51,676,104,19.16,18338,,
0.0,175,0.52,680,104,19.16,18399,,
0.0,176,0.51,684,104,18.43,18454,,
0.0,177,0.49,688,104,18.02,18504,,
0.0,178,0.45,692,104,17.72,18560,,
0.0,178,0.45,696,104,17.55,18635,,
0.0,179,0.41,700,104,17.27,18690,,
0.0,179,0.39,704,104,16.97,18735,,
0.0,180,0.4,708,104,17.17,18806,,
0.0,180,0.39,712,104,17.09,18859,,
0.0,181,0.38,716,104,16.59,18914,,
0.0,182,0.35,720,104,16.38,18983,,
0.0,182,0.31,724,104,15.99,19036,,
0.0,183,0.3,728,104,15.89,19101,,
0.0,184,0.3,732,104,15.94,19185,,
0.0,184,0.33,736,104,16.31,19285,,
0.0,185,0.35,740,104,16.67,19384,,
0.0,186,0.33,744,104,16.63,19446,,
0.0,186,0.24,748,104,15.86,19499,,
0.0,187,0.24,752,104,15.83,19562,,
0.0,188,0.26,756,104,16.04,19631,,
0.0,189,0.31,760,104,16.81,19759,,
0.0,190,0.33,764,104,16.9,19831,,
0.0,191,0.33,768,103,17.12,19916,,
0.0,192,0.29,772,103,16.91,19976,,
0.0,193,0.34,776,103,17.27,20065,,
0.0,194,0.35,780,103,17.78,20177,,
0.0,195,0.37,784,103,18.05,20259,,
0.0,196,0.38,788,103,18.45,20349,,
0.0,196,0.37,792,103,18.64,20424,,
0.0,198,0.42,796,103,19.09,20544,,
0.0,198,0.46,800,103,19.39,20629,,
0.0,199,0.49,804,103,19.72,20707,,
0.0,200,0.54,808,103,20.26,20832,,
0.0,201,0.57,812,103,20.53,20912,,
0.0,201,0.58,816,103,20.59,20973,,
0.0,202,0.6,820,103,20.58,21041,,
0.0,203,0.61,824,103,20.73,21109,,
0.0,204,0.6,828,103,20.81,21182,,
0.0,205,0.61,832,103,20.62,21247,,
0.0,206,0.59,836,103,20.28,21313,,
0.0,207,0.59,840,103,20.03,21387,,
0.0,208,0.6,844,103,20.03,21449,,
0.0,208,0.61,848,103,20.2,21519,,
0.0,209,0.64,852,103,20.52,21614,,
0.0,210,0.65,856,103,20.68,21699,,
0.0,211,0.61,860,103,20.13,21772,,
0.0,211,0.61,864,103,20.17,21848,,
0.0,212,0.62,868,103,20.33,21949,,
0.0,213,0.62,872,103,20.32,22008,,
0.0,213,0.59,876,103,20.19,22084,,
0.0,214,0.58,880,103,19.98,22175,,
0.0,215,0.59,884,103,20.36,22295,,
0.0,216,0.63,888,103,20.56,22405,,
0.0,217,0.66,892,103,20.69,22493,,
0.0,218,0.65,896,103,20.46,22590,,
0.0,219,0.64,900,103,20.35,22664,,
0.0,220,0.64,904,103,20.36,22743,,
0.0,222,0.6,908,102,20.2,22852,,
0.0,222,0.58,912,102,19.97,22909,,
0.0,223,0.57,916,102,19.86,22959,,
0.0,223,0.56,920,102,19.84,23025,,
0.0,224,0.56,924,102,20.03,23112,,
0.0,225,0.55,928,102,19.84,23166,,
0.0,225,0.55,932,102,19.94,23241,,
0.0,226,0.57,936,102,20.35,23348,,
0.0,227,0.56,940,102,20.47,23434,,
0.0,228,0.56,944,102,20.43,23492,,
0.0,228,0.56,948,102,20.51,23570,,
0.0,229,0.55,952,103,20.4,23654,,
